2019-07-14 23:57:40: == Sync Started by User Command
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/addstudent.cs' -> 'D:/Python/Project/Library/Library/addstudent.cs' (501)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.exe' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.exe' (199,680)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.exe.config' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.exe.config' (189)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.pdb' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.pdb' (239,104)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.vshost.exe' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.vshost.exe' (24,224)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.vshost.exe.config' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.vshost.exe.config' (189)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Borrow.cs' -> 'D:/Python/Project/Library/Library/Borrow.cs' (1,023)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Borrow.Designer.cs' -> 'D:/Python/Project/Library/Library/Borrow.Designer.cs' (23,532)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Borrow.resx' -> 'D:/Python/Project/Library/Library/Borrow.resx' (7,105)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Borrow_detail.cs' -> 'D:/Python/Project/Library/Library/Borrow_detail.cs' (496)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Borrow_detail.Designer.cs' -> 'D:/Python/Project/Library/Library/Borrow_detail.Designer.cs' (18,955)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Borrow_detail.resx' -> 'D:/Python/Project/Library/Library/Borrow_detail.resx' (6,553)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Class/mdi.cs' -> 'D:/Python/Project/Library/Library/Class/mdi.cs' (1,251)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Form1.cs' -> 'D:/Python/Project/Library/Library/Form1.cs' (2,788)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Form1.resx' -> 'D:/Python/Project/Library/Library/Form1.resx' (48,018)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addbook.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addbook.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addborrow.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addborrow.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addexpense.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addexpense.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addexpense_type.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addexpense_type.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addimport.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addimport.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Addprintcard.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Addprintcard.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.AddStaff.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.AddStaff.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addstudent.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addstudent.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Addsupplier.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Addsupplier.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.book.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.book.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Borrow.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Borrow.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Borrow_detail.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Borrow_detail.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.category.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.category.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.collectType.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.collectType.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.csproj.FileListAbsolute.txt' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.csproj.FileListAbsolute.txt' (5,963)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.csproj.GenerateResource.Cache' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.csproj.GenerateResource.Cache' (2,769)
